--FORMAT
--Spawn: spawn time (relative to previous spawn), enemy type, x, y (relative to camera upper bound) 
#FORMATVERSION
1
#LEVEL (level 1)
#WAVE --BOSSWAVE
3,4,40,10
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
0,3,120,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
1,2,310,10
0,3,200,10
1,2,100,10
1,2,200,10
1,2,60,10
1,2,250,10
#WAVE
2,1,40,10
0.5,1,100,10
0.5,1,120,10
3,1,310,10
0.5,1,250,10
0.5,1,220,10
#WAVE
1,2,310,10
1,2,100,10
1,2,200,10
1,1,40,10
0.5,1,100,10
0,3,200,10
0,3,120,10
0.5,1,120,10
1,2,60,10
1,2,250,10
#WAVE
3,2,40,10
0.25,2,70,10
0.25,2,100,10
0.25,1,310,10
0.25,1,100,10
0.25,1,200,10
3,2,200,10
0.25,2,70,10
0.25,2,100,10
0.25,2,150,10
0.25,2,100,10
0.25,2,200,10
#WAVE
3,2,70,10
0,1,40,10
0,1,100,10
2,2,280,10
0,1,310,10
0,1,250,10
0.25,1,310,10
0.25,1,100,10
0.25,1,200,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
#LEVEL
#WAVE
3,1,40,10
0.25,1,70,10
0.25,1,100,10
3,1,310,10
0.25,1,280,10
0.25,1,250,10
#WAVE
3,2,40,10
1,2,310,10
1,2,100,10
1,2,280,10
1,2,70,10
1,2,250,10
